category,confidence,food_id,food_name_jp,matched,no_match,reason
いも・でん粉類,high,02062,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　ゆで,False,True,"Harusame (春雨) is a Japanese glass noodle made from starch (typically potato or sweet potato starch), a traditional product with no direct US USDA equivalent; the candidates are all vegetables/potato products, not starch-based noodles"
豆類,high,04021,そらまめ　おたふく豆,False,True,"そらまめ (broad beans/fava beans) in dried mature form are not represented in the USDA candidates; all matches are either cooked legumes with ~50% water content or processed products, while the Japanese item appears to be dry mature beans with 237kcal/100g energy density"
豆類,high,04040,だいず　［豆腐・油揚げ類］　油揚げ　生,False,True,"油揚げ (aburage/fried tofu skin) is a unique Japanese deep-fried tofu product with distinctly high fat (31.2g) and protein (23.4g) per 100g that doesn't match any USDA tofu entries, which are all either softer preparations or significantly lower in fat content; no US equivalent exists in the database"
豆類,high,04084,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,False,True,油揚げ (aburaage/fried tofu) is a deep-fried tofu product with ~266kcal/100g and high fat content; no USDA candidate matches this fried preparation - all candidates are unfried tofu or tofu products with 76-480kcal/100g and different fat/protein ratios reflecting the absence of deep-frying in US food supply
豆類,high,04086,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,False,True,油揚げ (aburage/fried tofu) is a deep-fried tofu product with ~164 kcal/100g and 12.5g fat that doesn't match any USDA tofu entries (all candidates are 38-367 kcal with much lower fat content); this is a distinct Japanese-specific processed form with no direct US equivalent
豆類,high,04085,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,False,True,"油揚げ (aburage) is a unique Japanese deep-fried tofu product with characteristic high fat content (28.8g) and high calories (361kcal) per 100g that doesn't match any USDA tofu entries, which are all significantly lower in fat and calories due to different preparation methods and water content"
豆類,high,04043,だいず　［豆腐・油揚げ類］　豆腐よう,False,True,"豆腐よう (fermented tofu/tofu cheese) is a uniquely Japanese fermented product with no US USDA equivalent; while regular tofu exists in US supply, the fermented, salted, aged nature of 豆腐よう (evidenced by 1.9g salt per 100g vs <0.1g in all tofu candidates) makes it a distinct product category not represented in the USDA database"
豆類,high,04046,だいず　［納豆類］　糸引き納豆,False,True,"Nattō (糸引き納豆) is a fermented soybean product unique to Japanese cuisine with no direct USDA equivalent; tempeh (candidates 1-2) is a different fermented soybean product with distinct processing, texture, and nutritional profile"
豆類,high,04048,だいず　［納豆類］　五斗納豆,False,True,"五斗納豆 (godo natto) is a traditional fermented soybean product specific to Japan; while tempeh and miso are fermented legumes, natto's unique production process, texture, and high salt content (5.8g) make it fundamentally different from all USDA candidates, warranting NO_MATCH"
豆類,high,04049,だいず　［納豆類］　寺納豆,False,True,"寺納豆 (tera-natto) is a traditional Japanese fermented soybean product with extremely high salt content (14.2g/100g) and specific fermentation characteristics that have no direct USDA equivalent; while candidate 4 (tamari) matches salt levels, it is a liquid condiment, not a fermented whole soybean product like natto"
豆類,high,04059,だいず　［その他］　湯葉　生,False,True,"Yuba (湯葉) is a traditional Japanese soy product made from soy milk skin with unique nutrient profile (high protein 21.8g, fat 12.3g, low carbs 1.1g) that doesn't match any USDA tofu or tempeh entries which are all significantly lower in energy/fat or higher in carbs; yuba is a Japan-specific food with no direct US equivalent"
豆類,high,04061,だいず　［その他］　金山寺みそ,False,True,"金山寺みそ is a traditional Japanese fermented soybean miso product with no direct US equivalent; while it contains soybeans, it is a fermented condiment/paste distinctly different from all USDA legume product categories offered (tofu, canned beans, hummus, etc.)"
豆類,high,04062,だいず　［その他］　ひしおみそ,False,True,"Hishio miso is a fermented soybean paste product specific to Japanese cuisine with no direct USDA equivalent; while candidate 1 (fuyu tofu) is fermented soy, it differs significantly in processing, form, and nutrient profile from this miso-type product"
豆類,high,04067,ひよこまめ　全粒　フライ　味付け,False,True,Fried seasoned whole chickpeas (ひよこまめフライ味付け) is a specific Japanese prepared/fried legume product with high fat (8.1g) and salt (1.8g) content from frying and seasoning that doesn't match any raw or boiled bean entries in the USDA database; closest conceptual match would be falafel but nutritional profile differs significantly in protein and carbohydrates
種実類,high,05047,（ひし類）　とうびし　生,False,True,"Toubishi (水菱, Trapa japonica) is a Japanese aquatic plant seed with unique nutritional profile (low fat 0.2g, high fiber 8.2g) that does not match any USDA database entries; closest candidates (chestnuts, ginkgo nuts, lotus seeds) all have significantly different macronutrient compositions and represent different plant species with no US commercial equivalent"
種実類,high,05028,ブラジルナッツ　フライ　味付け,False,True,"Brazil nuts (ブラジルナッツ) are not represented in the USDA database candidates; the closest matches (pilinuts, macadamia, pecans) differ significantly in protein content and overall nutritional profile, and no USDA entry specifically covers seasoned/flavored Brazil nuts."
種実類,high,05044,らっかせい　小粒種　乾,False,True,"らっかせい (peanuts) should match peanut entries, but all candidates are either mixed nuts or other seeds without pure peanut option; the Japanese item shows peanut-specific nutrient profile (high protein 25.4g, moderate carbs 10.7g) distinct from mixed nut blends"
種実類,high,05045,らっかせい　小粒種　いり,False,True,"らっかせい (peanut) is a common legume available globally, but no USDA entry exists for plain roasted small peanuts alone - all candidates are either mixed nuts or non-peanut products; the Japanese item's high protein (26.5g) and specific nutrient profile match roasted peanuts specifically, not the mixed nut or other nut alternatives provided"
種実類,high,05037,らっかせい　ピーナッツバター,False,True,"Japanese peanut butter (らっかせい ピーナッツバター) is a specific peanut butter product, but USDA database lacks pure peanut butter entries; all candidates are either mixed nuts, seed butters, or other nut products, making NO_MATCH most appropriate despite peanut butter being available in US supply"
野菜類,high,06328,アロエ　葉　生,False,True,"Aloe leaf (アロエ葉) is a specialized plant product not commonly found in the USDA food database; while nutritionally similar to some broths, it is botanically and functionally distinct from all vegetable candidates offered, making it Japan-specific with no true US equivalent"
野菜類,high,06040,かぶ　漬物　塩漬　葉,False,True,"Kabu (turnip) pickled leaves are a traditional Japanese preserved vegetable product with no direct USDA equivalent; the high sodium content (2.3g salt) and nutrient profile are characteristic of Japanese salt-pickled vegetables, not found in standard US food database entries"
野菜類,high,06043,かぶ　漬物　ぬかみそ漬　葉,False,True,"かぶ葉のぬかみそ漬 (turnip greens pickled in rice bran miso) is a traditional Japanese fermented pickle with no direct US equivalent; the high salt content (3.8g), specific fermentation process, and traditional pickling method make it distinctly different from any standard USDA vegetable entry"
野菜類,high,06045,かぶ　漬物　ぬかみそ漬　根　皮なし,False,True,"Turnip pickle (かぶ漬物) is a traditional Japanese fermented vegetable product with nuka miso (rice bran miso) that has no direct US equivalent; candidates are mostly sauces/soups unrelated to pickled vegetables, and no pickled turnip or comparable fermented vegetable entry exists in the provided USDA options"
野菜類,high,06048,（かぼちゃ類）　西洋かぼちゃ　果実　生,False,True,"Western pumpkin (kabocha squash) raw is a specific Japanese vegetable variety not well-represented in USDA database; closest candidates (sweet potato, mountain yam) differ significantly in nutrient profile, especially vitamin A content and carbohydrate composition"
野菜類,high,06050,（かぼちゃ類）　西洋かぼちゃ　果実　冷凍,False,True,"Frozen winter squash/kabocha is a common global vegetable, but no USDA entry for frozen pumpkin/squash exists in candidates; closest match would be sweet potato but differs significantly in vitamin A (3800 vs typical 900μg), fiber (4.2g), and overall nutrient profile specific to kabocha"
野菜類,high,06053,からしな　塩漬,False,True,からしな塩漬 is a traditional Japanese pickled mustard green with high salt content (2.5g/100g); no USDA candidate matches both the specific pickled mustard vegetable concept and the high sodium profile characteristic of traditional Japanese salt-pickled vegetables
野菜類,high,06056,かんぴょう　乾,False,True,"かんぴょう (kanpyo) is a dried gourd strip (bottlegourd/calabash) - a traditional Japanese preserved vegetable with no direct US USDA equivalent; candidates are primarily tubers, legumes, and leafy greens with nutritionally incompatible profiles"
野菜類,high,06057,かんぴょう　ゆで,False,True,"Kanpyō (bottle gourd strips) is a Japan-specific dried vegetable product with no direct US USDA equivalent; while nutritionally similar to some cooked vegetables, the unique processing method and ingredient specificity warrant NO_MATCH classification"
野菜類,high,06364,かんぴょう　甘煮,False,True,"Kanpyō (bottle gourd strips) sweetly simmered is a Japan-specific prepared vegetable product with no direct US equivalent; closest candidates (taro, mountain yam) differ significantly in food source and preparation method"
野菜類,high,06060,きく　菊のり,False,True,"きく菊のり is a dried seaweed/nori product (edible chrysanthemum seaweed), a Japan-specific seaweed preparation with no direct US equivalent in the USDA database; candidates show vegetable/legume profiles that don't match the marine algae composition and nutrient signature"
野菜類,high,06066,きゅうり　漬物　塩漬,False,True,"きゅうり塩漬 (salt-pickled cucumber) is a traditional Japanese pickle with high salt content (2.5g/100g) and specific nutrient profile; no USDA entry exists for cucumber pickles or traditional Japanese-style salt pickles, making this a Japan-specific preserved food product without US equivalent"
野菜類,high,06067,きゅうり　漬物　しょうゆ漬,False,True,"Soy-pickled cucumber (しょうゆ漬) is a traditional Japanese fermented pickle product with no direct USDA equivalent; while raw cucumber exists in US supply, the fermented, soy-brined preparation and resulting nutrient profile (high salt 4.1g, elevated protein 3.2g, fiber 3.4g) are characteristic of Japanese tsukemono pickles not represented in the USDA database"
野菜類,high,06068,きゅうり　漬物　ぬかみそ漬,False,True,"ぬかみそ漬 (nuka-miso pickle) is a traditional Japanese fermented vegetable pickle with bran-miso paste base; no USDA candidates represent this specific fermentation method or traditional Japanese pickling process, and canned/bottled American pickled vegetables lack the characteristic fermentation profile and ingredient base"
野菜類,high,06079,くわい　塊茎　ゆで,False,True,"Kuwai (arrowhead bulb) is a Japanese-specific tuber vegetable with no direct USDA equivalent; while nutritionally similar to some root vegetables, kuwai's unique botanical classification and traditional Japanese culinary use make it unsuitable for matching to common US vegetables like potatoes or yams."
野菜類,high,06084,ごぼう　根　生,False,True,"Gobo (burdock root) is a Japanese root vegetable with distinctive nutrient profile (high fiber 5.7g, low energy 58kcal, moderate potassium 320mg) that does not match any US USDA candidates; no nutritionally or conceptually equivalent vegetable exists in the provided list"
野菜類,high,06385,コリアンダー　葉　生,False,True,"コリアンダー葉 (cilantro/coriander leaves) is a fresh herb with distinctive nutrient profile (high Vit A at 1700μg, moderate fiber at 4.2g, low energy at 18kcal) that does not match any provided USDA candidate; while cilantro exists in US supply, no candidate entry represents raw fresh cilantro leaves"
野菜類,high,06088,ザーサイ　漬物,False,True,ザーサイ is a traditional Chinese-style pickled mustard vegetable with extremely high sodium (13.7g salt/100g) and specific nutrient profile not represented in USDA database; no US vegetable pickle matches both the food concept and nutritional characteristics
野菜類,high,06094,ししとう　果実　油いため,False,True,Shishito peppers (ししとう) are a specific Japanese pepper variety; no direct USDA match exists for this particular pepper type or its oil-fried preparation in the provided candidates
野菜類,high,06095,しそ　葉　生,False,True,"Shiso (perilla) is a distinctly Japanese herb with unique flavor profile and nutritional characteristics (very high vitamin A at 11000μg, high fiber at 7.3g, high calcium at 230mg) that don't match any common US vegetable in the candidates; no US culinary equivalent exists in the USDA database"
野菜類,high,06099,しゅんぎく　葉　生,False,True,"Shungiku (garland chrysanthemum) is a Japan-specific leafy vegetable with distinctive flavor profile; no USDA entry matches its unique botanical identity and nutrient composition, and it is not commonly available in US food supply"
野菜類,high,06102,（しょうが類）　葉しょうが　根茎　生,False,True,"Leaf ginger (young ginger rhizome) is a fresh rhizomatous vegetable with tender, mild flavor profile not represented in USDA database; closest candidates (cardoon, celeriac, gourd) differ significantly in botanical classification and nutritional composition"
野菜類,high,06103,（しょうが類）　しょうが　根茎　皮なし　生,False,True,"Fresh ginger (peeled rhizome) has no direct USDA match; while celeriac (entry 21) is closest nutritionally (E=27kcal, similar macros), ginger is a distinct rhizome with unique flavor profile and phytochemical composition not adequately represented by any root vegetable candidate in the database"
野菜類,high,06365,（しょうが類）　しょうが　根茎　皮なし　生　おろし,False,True,"Ginger (raw, grated, peeled) is a common global ingredient available in US markets, but USDA database lacks a direct ginger entry; all candidates are substantially different vegetables with mismatched nutrient profiles and food concepts."
野菜類,high,06366,（しょうが類）　しょうが　根茎　皮なし　生　おろし汁,False,True,Ginger juice (おろし汁) is a processed ginger product without a direct USDA equivalent; raw ginger exists in US supply but ginger juice/grated juice is a Japan-specific preparation not represented in the provided candidates
野菜類,high,06105,（しょうが類）　しょうが　漬物　甘酢漬,False,True,Sweetened vinegar-pickled ginger (甘酢漬) is a traditional Japanese pickle with specific fermentation/pickling process and flavor profile not represented in USDA database; closest candidates are soups/sauces but lack ginger identity and have incompatible nutrient/ingredient profiles
野菜類,high,06386,（しょうが類）　新しょうが　根茎　生,False,True,"Fresh ginger rhizome (新しょうが) is a distinctly Japanese preparation of young ginger with unique characteristics; no USDA candidates match ginger specifically, and the nutrient profile (10 kcal, 350mg K, 1.9g fiber) does not align with the offered vegetables which are all substantially different botanical items"
野菜類,high,06387,すいぜんじな　葉　生,False,True,"Suizenji-na is a Japanese leafy green vegetable (Alternanthera sessilis) with no direct USDA equivalent; while nutrient profile suggests a leafy green, no candidate vegetables match the specific plant species or its nutritional characteristics closely enough for confident matching"
野菜類,high,06115,すぐきな　すぐき漬,False,True,Suguki is a traditional Japanese pickle made from Brassica rapa subspecies with fermentation; no USDA equivalent exists for this Japan-specific fermented vegetable product
野菜類,high,06123,ぜんまい　干しぜんまい　干し若芽　ゆで,False,True,"Zenmai (Japanese bracken fern) is a specific wild vegetable with no direct USDA equivalent; closest candidates (butterbur, mushrooms) differ significantly in botanical origin and traditional preparation methods unique to Japanese cuisine"
野菜類,high,06131,（だいこん類）　だいこん　葉　ゆで,False,True,"Daikon leaves (boiled) are a Japanese leafy green vegetable with no direct USDA equivalent; while spinach candidates exist, daikon leaves have distinctly different nutritional profiles (higher Ca, Fe, VitA) and are not commonly available in the US food supply"
野菜類,high,06367,（だいこん類）　だいこん　根　皮なし　生　おろし,False,True,"Daikon radish grated/shredded (おろし) is a raw, fresh vegetable preparation not represented in USDA database; closest candidates are cooked vegetables (celeriac, yambean) which differ significantly in preparation method and nutrient profile, making NO_MATCH the most appropriate choice"
野菜類,high,06369,（だいこん類）　だいこん　根　皮なし　生　おろし水洗い,False,True,"Japanese daikon radish (grated, rinsed) has no direct USDA equivalent; candidates are either cooked vegetables, legumes, or botanically different roots with mismatched nutrient profiles and preparation methods"
野菜類,high,06335,（だいこん類）　切干しだいこん　油いため,False,True,"Kiriboshi daikon (dried radish) stir-fried is a processed Japanese vegetable product with no direct USDA equivalent; candidates are fresh/canned vegetables with different processing, texture, and nutrient profiles than rehydrated dried radish"
野菜類,high,06388,（だいこん類）　漬物　いぶりがっこ,False,True,"Iburi-gakko is a traditional Japanese smoked daikon pickle with distinctive smoking process and high salt content (3.5g/100g); no USDA entry matches this specific traditional Japanese pickle preparation - candidates are either wrong vegetable type, wrong processing method, or significantly different nutrient profiles"
野菜類,high,06137,（だいこん類）　漬物　ぬかみそ漬,False,True,"Nukazuke (Japanese radish pickle fermented in rice bran miso) is a traditional Japanese fermented pickle with no direct US equivalent in the USDA database; candidates are sauces/soups rather than pickled vegetables, and the fermentation process and ingredient base are distinctly Japanese."
