confidence,fdc_id,food_name_en,matched,no_match,reason,us_only,usda_category
high,167574,"Desserts, flan, caramel custard, prepared-from-recipe",False,True,"Flan is a custard-based dessert with high carbohydrate content (22.8g) and moderate protein (4.53g) per 100g; no Japanese candidates match this profile - all available options are either hard candies, biscuits, or pastries with significantly different macronutrient compositions and none represent a custard dessert category.",,Sweets
high,167575,"Ice creams, vanilla",False,True,Vanilla ice cream is a frozen dairy dessert with ~87kcal/100g; all candidates are shelf-stable confections (380-588kcal/100g) with fundamentally different compositions and moisture content. No suitable Japanese match exists in the provided table.,,Sweets
high,167577,"Sherbet, orange",False,True,"Orange sherbet is a frozen dessert with ~60kcal per 100g and low fat; all candidates are shelf-stable candies/baked goods with 300-520kcal per 100g, making them nutritionally and conceptually incompatible with frozen sherbet products not found in Japanese composition tables",,Sweets
high,167583,"Candies, TWIZZLERS Strawberry Twists Candy",False,True,"Twizzlers strawberry twists are a uniquely American extruded candy product with extremely high carbohydrates (79.2g) and very low fat (2.32g) per 100g; no Japanese candy entry matches this profile—the closest Japanese candy entries (キャラメル, ブリットル) have much lower carbs and higher fat content, making them nutritionally incompatible with this American-specific confection.",,Sweets
high,167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",False,True,"Glutino gluten-free cookies (1980 kcal/100g) are a specialized processed snack with no nutritional equivalent in the Japanese table; all candidates are <550 kcal/100g and represent different food categories (noodles, bread, grains) rather than cookies",,Baked Products
high,167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",False,True,"Goldfish crackers are a highly processed American snack with unique formulation (baked, cheese-flavored); no Japanese table entry matches the high energy density (1920 kcal/100g) combined with moderate protein, fat, and carb profile - closest candidates (instant noodles) are significantly lower in energy and lack the cheese/baked cracker concept",,Baked Products
high,167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",False,True,"Udi's gluten-free whole grain bread has unique nutritional profile (1300 kcal/100g energy density, 4.9g fiber, low mineral content) and formulation unmatched by Japanese table entries; closest bread candidates (croissants, dried bread) differ significantly in composition and processing, lacking gluten-free whole grain bread equivalents in 八訂 database",,Baked Products
high,167601,"Van's, Gluten Free, Totally Original Pancakes",False,True,"Van's Gluten Free Pancakes (902kcal/100g, high carb, low protein) is a frozen/ready-to-eat pancake product with no direct Japanese equivalent in the table; closest bread items are significantly lower in energy and carbohydrate density, and no pancake entry exists in Japanese composition data",,Baked Products
high,167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",False,True,"Canadian cultivated seaweed (nori-like product) has distinctly different nutrient profile (1080 kcal, 46.2g carbs, 10.998g salt, 2.25μg B12) from all Japanese candidates; closest options (菊のり, dried ferns) are much lower calorie and lack comparable carbohydrate/salt content; no adequate match exists in the Japanese food composition table",,Vegetables and Vegetable Products
high,167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",False,True,Seaweed (Tsunomata) is a marine algae product not represented in the provided Japanese vegetable composition table; closest candidates are terrestrial vegetables with fundamentally different nutrient profiles and food concepts,,Vegetables and Vegetable Products
high,167604,"Potatoes, hash brown, refrigerated, unprepared",False,True,"Hash brown potatoes are a prepared potato product with high carbs (19.2g) and moderate energy (353kcal per 100g raw); no Japanese table entry matches raw/refrigerated shredded potatoes - closest candidates are cooked vegetables with much lower energy values, making them nutritionally incompatible",,Vegetables and Vegetable Products
high,167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",False,True,"Hash brown potatoes (pan-fried in oil) have no equivalent in Japanese composition table; candidates are all non-potato vegetables with drastically lower energy (26-208 kcal vs 242 kcal), fat (0-6.4g vs 10.3g), and carbs, making nutritional matching impossible.",,Vegetables and Vegetable Products
high,167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",False,True,"Sweet potato french fries (762kcal, 8.92g fat, 35.6g carbs) have no nutritionally similar match in Japanese table; candidates are either legumes (1-3, 6), pickled vegetables (4-5, 9, 11), or low-calorie vegetables (7-8, 10, 12-25) with vastly different energy/macronutrient profiles",,Vegetables and Vegetable Products
,167607,"Moose, meat, raw (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167608,"Mashu roots, raw (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167609,"Moose, liver, braised (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167610,"Seal, bearded (Oogruk), meat, raw (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167611,"Oil, bearded seal (Oogruk) (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167612,"Oopah (tunicate), whole animal (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167613,"Owl, horned, flesh, raw (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167614,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167616,"Fish, salmon, king, chinook, liver (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167617,"Duck, scoter, white-winged, meat (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167618,"Sea cucumber, yane (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167619,"Squirrel, ground, meat (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167620,"Tea, tundra, herb and laborador combination (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167621,"Walrus, meat, dried (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167622,"Deer (venison), sitka, raw (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167625,"Oil, whale, bowhead (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167626,"Fish, whitefish, broad, liver (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167627,"Mush, blue corn with ash (Navajo)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167628,"Cornmeal, blue (Navajo)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167629,"Melon, banana (Navajo)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167630,Chilchen (Red Berry Beverage) (Navajo),False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167631,"Corn, dried (Navajo)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167632,"Squash, Indian, cooked, boiled (Navajo)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167633,"Bread, kneel down (Navajo)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167634,"Mutton, cooked, roasted (Navajo)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167635,"Frybread, made with lard (Navajo)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167636,Tamales (Navajo),False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167637,"Stew, steamed corn (Navajo)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167638,"Fish, halibut, raw, with skin (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167639,"Fish, salmon, coho (silver), raw (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167640,"Blueberries, wild, raw (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167641,"Oil, spotted seal (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167642,"Fish, salmon, red, canned, bones removed (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167643,"Fish, whitefish, eggs (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167644,"Caribou, rump meat, half dried (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167648,"Fish, sheefish, raw (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167653,"Corn, dried, yellow (Northern Plains Indians)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167654,"Smelt, dried (Alaska Native)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167655,"Frybread, made with lard (Apache)",False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
,167656,Corned beef and potatoes in tortilla (Apache),False,True,No MEXT category mapped for American Indian/Alaska Native Foods,True,American Indian/Alaska Native Foods
high,167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",False,True,"Soft taco is a distinctly Mexican/American Tex-Mex food with no Japanese equivalent; nutritional profile (959kcal/100g energy is unusually high, suggesting data may be for prepared dish not normalized) doesn't match any candidate, and the combination of soft tortilla, ground beef, cheese, and lettuce has no Japanese food counterpart in the table",,Restaurant Foods
high,167659,"Restaurant, Latino, chicken and rice, entree, prepared",False,True,"Chicken and rice is a common global dish, but the US restaurant version's nutrient profile (174kcal, 12g protein, 20g carbs, 5g fat, 1.3g salt) doesn't match any Japanese candidates; closest options are either fried preparations (higher fat/lower carbs) or curry/stew dishes with different macronutrient ratios and lower protein",,Restaurant Foods
high,167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",False,True,"Pupusas are a Central American stuffed flatbread with no direct Japanese equivalent; nutritionally unique (high energy 1070kcal, moderate protein 11.7g, low fat 13.2g per 100g) and conceptually distinct from all Japanese candidates which are fried/processed dishes with different macronutrient profiles",,Restaurant Foods
high,167664,"Restaurant, Latino, tamale, corn",False,True,"Tamale is a Mexican/Latin American steamed corn masa dish with no direct Japanese equivalent; nutrient profile (776kcal per 100g) is significantly higher than all candidates, suggesting a prepared/cooked item vs. Japanese table entries which appear to be cooked weights",,Restaurant Foods
high,167666,"Restaurant, Mexican, refried beans",False,True,"Refried beans is a Mexican legume dish with no Japanese culinary equivalent; candidates are all Western/Chinese processed foods with fundamentally different compositions (fried items, dumplings, burgers) lacking the bean-based, fiber-rich profile of refried beans",,Restaurant Foods
high,167668,"Restaurant, Chinese, fried rice, without meat",False,True,"Fried rice is a stir-fried carbohydrate-based dish with ~730kcal/100g; all Japanese candidates are either fried breaded items (fry, croquette, cutlet: 140-275kcal/100g), dumplings/point items (175-210kcal/100g), or other prepared dishes with mismatched macronutrient profiles and significantly lower energy density - no suitable match exists in the Japanese composition table",,Restaurant Foods
high,167669,"CRACKER BARREL, steak fries",False,True,"Steak fries are deep-fried potato strips with 1070 kcal/100g energy density far exceeding all Japanese candidates (max 425 kcal); no Japanese fried potato dish equivalent exists in the table to match this high-calorie, high-carb fried side dish.",,Restaurant Foods
high,167670,"CRACKER BARREL, grilled sirloin steak",False,True,"Grilled sirloin steak is a simple cooked meat dish with high protein (31.5g) and moderate fat (8.52g), but all Japanese candidates are processed/prepared dishes (fried foods, hamburgers, dumplings) with significantly lower protein and different nutritional profiles; no plain grilled meat entry exists in the table",,Restaurant Foods
high,167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",False,True,"Mac and cheese is a distinctly American comfort food with no Japanese equivalent; nutrient profile (802 kcal/100g, high carbs from pasta, moderate protein/fat from cheese sauce) doesn't match any candidate, which are mostly fried items, croquettes, or Asian dishes with lower energy density",,Restaurant Foods
high,167673,"DENNY'S, top sirloin steak",False,True,"Top sirloin steak is a high-protein (28.9g), low-carb grilled beef cut with minimal processing; Japanese table contains only processed/fried dishes and prepared foods with much lower protein and higher carbs/salt, making none nutritionally comparable to this simple grilled steak",,Restaurant Foods
high,167674,"Restaurant, Chinese, lemon chicken",False,True,"Lemon chicken is a Westernized Chinese-American restaurant dish with 1050kcal per 100g (unusually high calorie density suggesting significant oil/sauce); no Japanese table entry matches both the concept (sweet-sour chicken dish) and nutrient profile (high energy, moderate protein/carbs, low salt at 0.64g vs typical Japanese prepared dishes at 0.7-1.7g salt)",,Restaurant Foods
high,167676,"Restaurant, Chinese, kung pao chicken",False,True,"Kung pao chicken (541kcal, 9.76g protein, 6.98g fat) is a stir-fried Chinese dish with significantly higher energy density than all candidates; closest Chinese options (gyoza, shumai, mapo tofu) are substantially lower in calories and macronutrients, indicating no nutritionally equivalent match in the Japanese food composition table",,Restaurant Foods
high,167677,"Restaurant, Chinese, vegetable lo mein, without meat",False,True,"Vegetable lo mein is a noodle-based dish with ~506kcal/100g and low protein (4.77g), but all candidates are either breaded/fried foods (200-300kcal), dumplings (190-210kcal), or rice dishes (120-150kcal) - no noodle dish exists in the Japanese table to match this Chinese restaurant preparation",,Restaurant Foods
high,167679,"Restaurant, Chinese, orange chicken",False,True,Orange chicken is a Chinese-American dish with 1100 kcal/100g (restaurant preparation with sauce/breading); Japanese table entries are all base ingredients or prepared dishes at 120-300 kcal/100g - no nutritionally comparable match exists,,Restaurant Foods
high,167680,"Restaurant, Italian, spaghetti with meat sauce",False,True,"Spaghetti with meat sauce is a pasta-based Italian dish; Japanese table lacks noodle/pasta dishes with meat sauce. All candidates are fried foods, croquettes, or Asian dishes with fundamentally different composition and preparation methods.",,Restaurant Foods
high,167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",False,True,"US item is a dry powdered drink mix (218 kcal/100g, 87.4g carbs, high vitamin C, low sodium) - a concentrated beverage powder product; Japanese table candidates are either alcoholic beverages, brewed tea infusions (near 0 kcal), or ready-to-drink sports drinks (21 kcal) - no equivalent dry powdered beverage mix category exists in the Japanese food composition table",,Beverages
high,167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",False,True,"Frozen ice cream novelty with chocolate coating is a modern processed product not represented in Japanese composition table; closest candidates (chocolate, cakes) differ significantly in energy density, macronutrient ratios, and product format",,Sweets
high,167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",False,True,"Creamy dressing is a prepared condiment/sauce with dairy, oil, and carbs (7g) - fundamentally different from pure oils/fats in the Japanese table; no mayo, dressing, or sauce category exists in the provided candidates",,Fats and Oils
high,167686,"Milk dessert, frozen, milk-fat free, chocolate",False,True,"Frozen milk-fat free chocolate dessert (699 kcal, 37.7g carbs, very low fat) has no close match - candidates are either too high in fat (cakes, donuts, chocolate cream at 300-500 kcal with 13-38g fat), too low in carbs (hard candies, gum), or wrong category; Japanese table lacks frozen dairy desserts or ice cream equivalents",,Sweets
,167690,"Babyfood, apple yogurt dessert, strained",False,True,No MEXT category mapped for Baby Foods,True,Baby Foods
high,167691,"Vegetable oil-butter spread, reduced calorie",False,True,"Reduced-calorie butter-oil spread (53g fat, 1950kcal per 100g) is fundamentally different from pure oils/fats (97-99g fat, 880-900kcal per 100g); contains water, emulsifiers, and other ingredients absent from Japanese oil table entries",,Fats and Oils
high,167692,"Salad dressing, blue or roquefort cheese dressing, light",False,True,"Light blue cheese dressing is a condiment/sauce with low fat (2.7g) and high carbs (13.2g) from water and thickeners, fundamentally different from pure oils/fats in the Japanese table which all contain 60-97g fat per 100g; no Japanese condiment equivalent exists in this oil-focused table",,Fats and Oils
high,167693,"Salad dressing, french dressing, reduced calorie",False,True,"Reduced-calorie French dressing is a processed condiment with 27g carbs, 13g fat, and 948 kcal/100g—fundamentally different from pure oils/fats in Japanese table; no Japanese salad dressing equivalent exists in the provided candidates",,Fats and Oils
high,167695,"Mayonnaise, made with tofu",False,True,"Tofu mayonnaise is a modern processed emulsion condiment with no direct equivalent in Japanese food composition table; all candidates are pure oils/fats lacking the protein (5.95g), carbs (3.06g), and emulsified structure characteristic of mayonnaise",,Fats and Oils
high,167699,"Salad dressing, blue or roquefort cheese dressing, fat-free",False,True,"Fat-free salad dressing is a processed condiment with high carbs (25.6g), low fat (1.01g), and specific seasoning ingredients; all Japanese candidates are pure oils/fats with 96-97% fat content and negligible carbs - fundamentally incompatible food categories",,Fats and Oils
high,167700,"Salad Dressing, mayonnaise-like, fat-free",False,True,"Fat-free mayonnaise-like dressing (351 kcal, 2.7g fat, 15.5g carbs) is a modern processed condiment with thickeners/emulsifiers that doesn't match Japanese oil/fat entries (all >500 kcal with >60g fat); no Japanese equivalent exists in the composition table",,Fats and Oils
high,167704,"Salad dressing, bacon and tomato",False,True,"Bacon and tomato salad dressing is a composite emulsified condiment with egg, vinegar, and seasonings (~35% fat, 1360 kcal/100g, 2.3g salt) - fundamentally different from pure oils and fats in the Japanese table which lack protein, carbs, and have 880-900 kcal/100g; no Japanese equivalent exists for this specific American condiment",,Fats and Oils
high,167706,"Jams, preserves, marmalade, reduced sugar",False,True,"Reduced-sugar jam/preserve is a modern functional food with carbs ~37.6g and fiber ~1.5g; no Japanese table entry matches this specific product category - candidates are all baked goods, pastries, or candies with different nutritional profiles and food concepts",,Sweets
high,167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",False,True,"US item is a vitamin-fortified fruit-flavored powder drink (227 kcal/100g, 91g carbs, 2400mg VitC, 6000μg VitA per 100g) with no Japanese equivalent in the table; all candidates are either alcoholic beverages, tea extracts, or traditional Japanese drinks with fundamentally different compositions and purposes",,Beverages
high,167708,"Tomato and vegetable juice, low sodium",False,True,"Tomato and vegetable juice is a processed beverage with multiple vegetable components; Japanese table contains only whole raw/cooked vegetables with no juice entries, making this a food category mismatch rather than a simple vegetable substitution",,Vegetables and Vegetable Products
high,167709,"Turkey, wing, smoked, cooked, with skin, bone removed",False,True,"Smoked turkey wing with skin is poultry (bird meat) but no Japanese composition table entry exists for turkey or smoked poultry products; closest candidate (chicken thigh karaage, #3) differs significantly in energy (307 vs 926kcal) and preparation method (fried vs smoked), making it unsuitable",,Poultry Products
high,167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed",False,True,"Smoked turkey drumstick is poultry with distinctly high protein (27.9g), low fat (9.8g), and high salt (2.53g) from smoking - no Japanese candidate matches this lean poultry profile; all candidates are beef, pork, lamb, or chicken with different fat/protein ratios and preparation methods",,Poultry Products
high,167711,"Beverages, Chocolate-flavored drink, whey and milk based",False,True,"US chocolate-flavored milk beverage (whey/milk-based with 10.7g carbs, 0.64g protein, 100mg Ca, micronutrients) has no equivalent in provided Japanese alcohol-only beverage table; all candidates are alcoholic beverages",,Beverages
high,167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",False,True,"Cooked cured bacon (2260 kcal, 37g protein, 41.8g fat per 100g) requires a processed, cured, and cooked pork product entry; all Japanese candidates are raw fatty pork cuts (631-759 kcal) with 3.6-6.6g protein, lacking the curing, cooking, and nutritional profile transformation of bacon.",,Pork Products
high,167717,Yeast extract spread,False,True,"Yeast extract spread is a highly processed fermented condiment (Marmite/Vegemite type) with unique nutrient profile (extremely high B vitamins, salt, potassium) that has no equivalent in Japanese vegetable composition table; closest candidates are dried/processed vegetables but none match the concentrated fermentation-derived nutrient profile",,Vegetables and Vegetable Products
,167718,"Babyfood, juice, pear",False,True,No MEXT category mapped for Baby Foods,True,Baby Foods
,167720,"Babyfood, meat, beef with vegetables, toddler",False,True,No MEXT category mapped for Baby Foods,True,Baby Foods
high,167721,"Frozen novelties, juice type, juice with cream",False,True,"Frozen juice novelties with cream are a specific frozen dessert category not represented in Japanese sweets table; closest candidates (cakes, pastries) differ significantly in composition and preparation method, making NO_MATCH the most appropriate choice",,Sweets
high,167722,Tofu yogurt,False,True,"Tofu yogurt is a yogurt product (dairy fermentation) with tofu added, not a traditional tofu preparation; no Japanese equivalent exists in the tofu/legume table as yogurt is a dairy product category not represented in this legume-focused composition table",,Legumes and Legume Products
,167726,"Babyfood, mixed fruit yogurt, strained",False,True,No MEXT category mapped for Baby Foods,True,Baby Foods
high,167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",False,True,"ENSURE PLUS is a nutritionally-complete medical/dietary supplement beverage with specific macronutrient ratios (589kcal, 5.16g protein, balanced carbs/fat) - a modern processed nutritional product category absent from the Japanese 八訂 table which contains only traditional alcoholic beverages, coffee/cocoa, and amazake",,Beverages
,167728,"Babyfood, rice and apples, dry",False,True,No MEXT category mapped for Baby Foods,True,Baby Foods
,167729,"Babyfood, juice, apple - cherry",False,True,No MEXT category mapped for Baby Foods,True,Baby Foods
,167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",False,True,No MEXT category mapped for Baby Foods,True,Baby Foods
,167732,"Babyfood, banana no tapioca, strained",False,True,No MEXT category mapped for Baby Foods,True,Baby Foods
,167733,"Babyfood, banana apple dessert, strained",False,True,No MEXT category mapped for Baby Foods,True,Baby Foods
